Name,Ort,Standort des Lagers,Betreiber,Dauer des Bestehens,Häftlingsbelegung,Unterbringung,Art der Arbeiten,Todesopfer,Rücküberstellungen,Fluchten,Zugänge aus anderen Lagern,Evakuierung,Juristische Aufarbeitung,Besonderheiten der Evakuierung,Besonderheiten des Lagers,Ende der Evakuierung,Quellen,Todesopfer/Vorkommnisse,Verlauf/Orte,Verlauf/Orte/Todesopfer,Rückstellungen,Orte,Besonderheiten,Standort,Überstellungen,Zugänge aus anderen Lager,Auflösung,Transport,Weiterer Arbeitseinsatz,Bestehen des Lagers,Betrieb des Rüstungskonzerns
Außenlager KZ Flossenbürg,Mittweida (62).,"Weißenthaler Spinnerei, Mittweida‚ Bahnhofstr.45.",C. Lorenz AG. Berlin-Marienfelde (Zu 100% im Kapitalbesitz der amerikanischen Standard Electric Corporation).,9. Oktober 1944 bis 13. April 1945.,"500 Frauen vom KZ Auschwitz (meist Ostarbeiterinnen, Teil nehmerinnen am Warschauer Aufstand 1944, keine Jüdinnen).","Barackenlager neben dem Produktionsbetrieb, mit Wachtürmen, Stacheldrahtumzäunung. Von dort ging zum Betrieb ein aus Stacheldraht geformter Tunnelgang, der sogenannte Löwengang.","Kunststoffpresserei bei großer Hitze, Bohrarbeiten an Metall platten‚ Montage-‚ Labor- und Kontrollarbeiten in 12-Stunden- Schichten.","Drei Frauen, davon eine durch Mord.","Drei Frauen nach Ravensbrück (wahrscheinlich Schwangere), eine Frau nach Flossenbürg.","Fünf Polinnen. Nach der ersten Flucht wurde der Lagerführer, SS-Oberscharführer Teichmann, abgelöst.Besonderheiten des Lagers",,"Am 13.4.1945 Fußmarsch nach Hainichen‚ dort Übernachtung, Weitermarsch mit AL Hainichen (39) nach Freiberg‚ Bahntrans- port in offenen Waggons nach Leitmeritz (Litomerice), Tage danach Weiterfahrt mit Todeszug Nr. 94803 (Film).","Der Lagerführer Adolf Nies‚ SS-Oberscharführer‚ wurde 1955 vom Schwurgericht Weiden wegen Verbrechen im Stammlager Flossenbürg zu zwei Jahren Zuchthaus verurteilt. Einige SS-Aufseherinnen wurden zu längeren Haftstrafen verurteilt, so Maria R.‚ die fast zehn Jahre in Waldheim‚ Sachsen- hausen, Hohenschönhausen, Lichtenburg, Bautzen, zuletzt in Hoheneck saß und 1955 entlassen wurde. Verzeichnis der KZ-Außenlager 503",,,Kurz vor Kaplice Befreiung eines Teils der Häftlinge durch tschechische Partisanen am 9. Mai 1945.,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Mockethal-Zatzschke (63).,"Sandgrube bei Zatzschke, an der Straße von Pirna nach Lohmen, in der Nähe des Gasthofs „Weiße Taube“. Die Arbeitsstelle befand sich in einem Talgrund zwischen Zatzschke und Mockethal.","OT-Sonderbaustab auf Weisung des Geilenberg-Stabs für die Deutsche Gasolin AG, Werk Dollbergen – Tarnnamen „Dachs VII“.",10. Januar 1945 bis 24. April 1945.,100 aus KZ Flossenbürg.,Im Aufbau begriffenes Barackenlager in oben angegebener Sandgrube.,"Aufbau der Baracken des Unterkunftslagers‚ Wegebau, Ausbre- chen von Stollen zum Einbau von vier Kleindestillationsanlagen, Alte Poste 1 „Ofen 11 und 12“, Alte Pöste 2 „Ofen 13 und 14“ in der Herrenleite bei Mockethal.","47 Häftlinge wurden auf dem Friedhof in Lohmen beigesetzt, sieben Häftlinge auf dem Friedhof in Pirna. Nach Fritz sind nur 13 Todesfälle für das Außenlager Mockthal- Zatzschke in den Flossenbürger Nummernbüchern registriert. Folglich müssten die anderen Todesopfer der 47 in Lohmen Bestatteten von den Dresdner Außenlagern stammen, da von den aus Porschdorf überstellten 13 Häftlingen keiner in Mockethal- Zatzschke verstarb. Vom Evakuierungsmarsch des AL Neusalz (66) wurden sieben Frauen in einer Baracke erschossen.",20. März 1945 acht Häftlinge nach Leitmeritz abgeschoben.,Zwei während der Existenz des Lagers.504 KZ-Außenlager in Sachsen,,"Am 16. April 1945 wurden die marschfähigen Häftlinge unter Kommando des Lagerführers‚ SS-Oberscharführer Erich von Berg, im Fußmarsch nach Leitmeritz getrieben, wo einige Häftlinge noch bis zur dortigen Arbeitseinstellung im Objekt „Richard“ arbeiten mussten.","Ermittlungen der Staatsanwaltschaft Würzburg gegen den Lagerführer, SS-Oberscharführer von Berg, wurden im Mai 1979 wegen Verjährung eingestellt. Gegen den Lagerkapo und vielfa- chen Mörder Karl Popowski wurde weder in Deutschland noch Österreich ermittelt.","Die Kranken wurden am 24. April 1945 auf Elbkähne verladen und mit schon darauf befindlichen Häftlingen anderer Lager elbaufwärts gefahren, wobei es viele Tote gab. Anfang Mai flüchtete die SS-Bewachung und überließ die Häftlinge sich selbst. Sowjetische Truppen und tschechische Behörden leiteten Rettungsmaßnahmen ein.","Das Lager war erst im Aufbau begriffen und diente auch als Zwischenlager für mehrere Außenlager, darunter AL Bernsdorf & Co. (18), „Universelle“ Dresden (23) und Porschdorf (74).",,,,,,,,,,,Am 15. Februar l945 hielt eine Todesmarsch-Kolonne kurz Rast im Lager (vermutlich aus Neusalz (66)).,,,,,
Außenlager KZ Flossenbürg,Mülsen St. Micheln (65).,"Mülsen St. Micheln, Textilfabrik Richard Pönisch Nachfolger (heute: Otto-Boessneck-Straße).",Erla Maschinenwerk GmbH Leipzig („Gross GmbH“).,27. Januar 1944 bis 13. April 1945.,Über 1.100 Häftlinge aus 19 Nationen. Stärke am 13. April 1945: 787 KZ-Häftlinge.,"Zuerst im Kellergeschoss der Fabrik, nach dem Brand vom 1./2. Mai 1944 auch in drei Baracken im Werksgelände.",Herstellung von Triebwerken und Flügeln für die Me 109.,"Mindestens 385 Häftlinge, davon 198 beim Häftlingsaufstand in der Nacht vom 1. zum 2. Mai 1944. 334 Einäscherungen im Krematorium Zwickau und 51 Begräbnisse an einem Waldstück in der Nähe der Fabrik. Im August 1945 wurden Urnen von 320 Opfern der Außenlager Mülsen St. Micheln und Zwickau im Stadtpark Zwickau beigesetzt. Verzeichnis der KZ-Außenlager 505","480 verletzte Häftlinge, davon 60 Schwerverletzte, wurden nach dem Brand ins Stammlager Flossenbürg überstellt.",Keine bekannt.,Anfang April 1945 kam ein Zug Häftlinge aus „einem weiter östlich gelegenen Lager“ an.,Das Lager wurde am 13. April 1945 evakuiert. Durch die vielen Schwerkranken und nahezu Gehunfähigen zog sich der Zug erheblich in die Länge.,"Der ehemalige Kommandoführer, SS-Untersturmführer Georg Walter Degner, wurde von einem US-Gericht freigesprochen. Beim Massaker auf dem Sportplatz in Niederschlema soll der Volkssturmmann Ernst Trotz die SS auf verletzte Häftlinge hingewiesen haben, die anschließend ermordet wurden. Ein sowjetisches Militärgericht hat ihn zum Tode verurteilt. Er wurde im September 1946 hingerichtet.",,,Am 17. April 1945 trafen etwa 350 Häftlinge in Leitmeritz (Litomerice) ein.,,"Ortmannsdorf: Ein Opfer, beerdigt auf dem Friedhof in Neuschön- burg. 14. April 1945: Nach der Ankunft auf dem Sportplatz Nieder schlema wurden den Marschunfähigen angeboten, zurückzublei- ben und auf die amerikanischen Truppen zu warten. Nach Weitermarsch der übrigen Häftlinge wurden die circa 84 Zurückgebliebenen in ein Waldstück gebracht und exekutiert, während der örtliche Volkssturm den Sportplatz sicherte. Danach wurden die Toten in einen ungenutzten Bergwerksstollen gebracht. Ein polnischer Häftling konnte sich verletzt retten. Burkhardtsgrün: Ein Opfer, beerdigt auf dem Friedhof in Zschor- lau, Blauenthal oder Wolfsgrün. Nachdem die Häftlinge in Wolfsgrün in einen Zug verladen worden waren, gab es offenbar in Muldenberg einen betriebsbedingten Halt, den einige Häftlinge zur Flucht genutzt haben. In Muldenberg: Zwei Opfer, exhumiert und auf dem Friedhof in Schöneck beigesetzt. Werda: Vier Opfer, Grabstätte auf dem Friedhof, Namen bekannt. Ellefeld: Ein Opfer, exhumiert, Grabstätte auf dem Friedhof in Auerbach (Eine gesicherte Zuordnung dieses KZ-Opfers zum Todesmarsch Mülsen St.Micheln oder Lengenfeld ist jedoch nicht möglich).",Ortmannsdorf – Niederschlema – Burkhardtsgrün – Blauenthal – Wolfsgrün. Hier erfolgte der weitere Transport per Bahn.,,,,,,,,,,,,
Außenlager KZ Groß-Rosen,Niederoderwitz (67).,Barackenlager neben der Schokoladenfabrik „Kosa“.,"Apparatebau GmbH, Niederoderwitz, Auslagerungsbetrieb der Osram Drahtwerk GmbH Berlin.",6. Januar 1945 – 23. Februar 1945.,140 ungarische Juden.,Massivbaracke‚ mit Stacheldrahtzaun vom übrigen Barackenlager abgegrenzt.,Anlernprozess in der Ausbildung für verschiedene Arbeitsstel- len bei der Fertigung von Molybdän- und Wolfram-Drähten‚ für den späteren Einsatz im Untertage-Drahtwerk „Richard II“ in Leitmeritz.,Keine.,,Keine bekannt.,,,"Es wurden keine Ermittlungen gegen Verantwortliche des Lagers Niederoderwitz durchgeführt. Der Osram-Konzern fehlt auf der Liste der Betriebe, die Entschädigungszahlungen für den Zwangsarbeitseinsatz von KZ-Häftlingen leisteten. Verzeichnis der KZ-Außenlager 507",,,,,,,,,,,,,,Am 23. Februar 1945 Verlegung der 140 Häftlingen nach Leitmeritz.,Niederoderwitz – Zittau – Warnsdorf (Varnsdorf) – Tetschen (Decín) – Aussig (Ústí nad Labem) – Leitmeritz (Litomerice).,"13. April 1945 (Stärkemeldung KZ Flossenbürg): Für „Richard II“(Osram) Leitmeritz sind nur 37 Häftlinge aufgeführt. Es ist möglich, dass ein Teil der aus Niederoderwitz zum Untertage- Objekt „Richard II“ Leitmeritz verlegten Häftlinge in den anderen dort bestehenden Kommandos B 5 oder „Elabe“ eingesetzt wurden. Die jüdischen Häftlinge des Objekts „Richard“ wurden ab 21. April 1945 in das Ghetto Theresienstadt überführt. Dort wurden die Überlebenden am 8. Mai 1945 von sowjetischen Truppen befreit.",,
Außenlager KZ Groß-Rosen,Niesky (68).,Wiesengrund am Rande der Stadt.,"Waggonfabrik Christoph & Unmack AG, Maschinenbetrieb des Rüstungszweiges des Krupp-Konzerns.",9. Juni 1944 bis 18. April 1945. Befreiung der letzten Häftlinge im Lager durch polnische Truppen.,1.200 Männer aus mehreren Ländern.,"Barackenlager, versehen mit Stacheldraht und Wachtürmen.","Produktions- und schwere Hilfsarbeiten, Umrüstung der Wag- gons für Flakgeschütze.",Nachweislich 39. Das Schicksal von circa 480 Häftlingen ist nicht geklärt.,Nicht bekannt.,"Mehrere Häftlinge versuchten, aus dem Lager Niesky zu fliehen. Bereits im Herbst 1944 entdeckte die SS einen unterirdischen Gang aus der Baracke 4 bis zum Weg, der in die Stadt führte. Lagerführer Seibold erschoss eigenhändig fünf Gefangene, andere bekamen 20–60 Schläge. Zur Strafe mussten alle Häftlinge nächtliche «Sportübungen» absolvieren. Nach einer Flucht von Häftlingen aus dem Fabrikgelände während der Arbeitszeit erhielten alle Häftlinge kein Abendbrot und mussten die ganze Nacht auf dem Appellplatz stehen und schikanöse Strafübungen ausführen.",Mitte März 1945 traf ein Transport von 22 schwer erkrankten Häftlingen aus dem Evakuierungslager Brandhofen (68.2.) ein. Im Gegenzug wurden 14 genesene Häftlinge Mitte März 1945 von Niesky nach Brandhofen deportiert.,Beginn am 18. Februar 1945: 500–600 Häftlinge wurden auf den Todesmarsch geschickt. Eine zweite Gruppe von 250 Häftlingen verließ am 19. Februar 1945 das Lager. Etwa 50 bis 60 kranke Häftlinge und der Pfleger Zygmunt Amanowicz blieben im Lager zurück.508 KZ-Außenlager in Sachsen,"Wilhelm Seibold starb um den 20. April I945 bei Königsbrück, 20 km nord-östlich von Dresden, vermutlich bei Kämpfen mit der Roten Armee. Ein Ermittlungsverfahren gegen Johann Biwersi, Führer des Bewachungspersonals, wegen der Tötung von vier Häftlingen stellte die Staatsanwaltschaft Saarbrücken 1965 ein, da ihm keine Tatbeteiligung nachzuweisen war. Ein weiteres Verfahren gegen Biwersi, wegen Mordes auf dem Evakuierungsmarsch von Niesky nach Brandhofen, wurde 1977 von derselben Staatsanwaltschaft eingestellt, da Biwersi 1970 verstorben war.","Der Tross wurde mit acht Leiterwagen vom Lager aus getrieben. Die Leiterwagen, beladen mit Habseligkeiten der Häftlinge, Proviant und Gepäck der SS-Leute, wurden von etwa jeweils 20 Häftlingen, die an Hölzer – quer zur Deichsel – gebunden waren, gezogen. Eine längs verlaufende Kette sollte eine Flucht verhindern. Die SS-Bewacher hatten Schäferhunde zur Bewa- chung eingesetzt. Die Häftlinge waren trotz eisiger Kälte nur notdürftig gekleidet und einige hatten statt Strümpfe nur Lumpen um die Beine und Füße gewickelt.","Im sächsischen Klein Radisch (68.1) bei Klitten existierte von September/Oktober 1944 bis Februar 1945 ein ständiges Außenkommando des Groß-Rosener Außenlagers Niesky. Juden, Polen, Tschechen, Russen, Franzosen und Jugoslawen waren dort in der Landwirtschaft eingesetzt. Die genaue Anzahl der Häftlinge ist unklar. Dieses Lager in Klitten wurde der Evakuierung am 20. Februar 1945 angeschlossen.",1. März 1945.,,An unbewohnten Stellen (Wald) brachte man auf dem Todes- marsch etwa 100 Häftlinge um. SS-Oberscharführer Wilhelm Seibold erschoss eigenhändig 40 Häftlinge. In Klitten wurden fünf bis sieben Ermordete des Kommandos Klein Radisch begraben.,Niesky – Klitten – Uhyst – Groß-Särchen – Wittichenau nach Brandhofen (heute wieder Spohla).,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Nossen (69).,Nossen.,Firma Warsitz Nossen (Nowa) und Firma Ernst-Broer-Werke (Ebro) für SS-Baustab B5.,5. November 1944 bis 14. April 1945.,"Etwa 650 männliche Häftlinge (Russen, Polen und neun weitere Nationen sowie einige ungarische Juden).","Zuerst im Keller der Klostermühle Nossen, später in einem Barackenlager am Pfarrberg.",Gießereiarbeiten und Metallbearbeitung. Verzeichnis der KZ-Außenlager 509,"87 Opfer auf Friedhof Nossen beerdigt, 20 im Krematorium Meißen eingeäschert.",Genaue Anzahl nicht ermittelt.,"Neun, davon eine erfolgreich.",,Nach Erhalt des Räumungsbefehls wurden kranke und marsch unfähige Häftlinge in drei Bahnwaggons verladen. Der Verlauf des Bahntransports (nach Leitmeritz?) ist bisher ungeklärt. Maximal 200 marschfähige Häftlinge marschierten in Richtung Krummenhennersdorf. Die weitere Wegstrecke ist nicht doku- mentiert.,,Die Nossener Häftlinge wurden wahrscheinlich von der Kolonne der Colditzer und Jenaer Häftlinge eingeholt. Vermutlich wurden beide Gruppen vereinigt und marschierten nach Leitmeritz (Litomerice). Zehn jüdische Häftlinge aus Nossen wurden von Leitmeritz nach Theresienstadt (Terezín) überstellt.Juristische Aufarbeitung,"Arbeitsort für die Häftlinge in der Gießerei war Roßwein, wohin die Häftlinge täglich mit der Bahn gebracht wurden.",25. April 1945.,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Oederan (70).,Nähfadenfabrik Kabis‚ Oederan‚ Bahnhofstraße.,"Deutsche Kühl- und Kraftmaschinen GmbH Scharfenstein (Tochtergesellschaft – Auto Union AG Chemnitz), ab 25.10.1944 Tarnnamen „Agricola GmbH“, Scharfenstein, Werk S Oederan.",12. September 1944 bis 14. April 1945.,"500 jüdische Frauen und Mädchen‚ darunter 110 der Geburts- Jahrgänge 1925–1930, vom KZ Auschwitz-Birkenau.","In einem mehrstöckigen Fabrikgebäude mit mehreren Schlaf räumen und mehrstöckigen Holzpritschen, in denen jeweils 30–40 Frauen schliefen.",Maschinelle Fertigung von 2-cm-Luftwaffenmunition (Hülsen) und Bauhilfsarbeiten.,"Drei Frauen, davon eine aus der Austauschgruppe aus Hertine. Beerdigung auf dem Friedhof Oederan.","Drei Frauen nach Bergen-Belsen, von denen eine dort starb; eine Frau nach Ravensbrück (Schwangerschaft). Austausch von 27 älteren Frauen gegen 27 jüngere Mädchen aus dem Lager Hertine (Rtyne) – Munitionsfabrik Welboth (Velvetty) – am 6. Januar 1945.",Während der Lagerexistenz keine.510 KZ-Außenlager in Sachsen,,14. April 1945 Bahntransport in offenen Waggons.,Keine Strafverfolgung der verantwortlichen Lagerfunktionäre. Einstellung der Ermittlungen der Zentralstelle Ludwigsburg im Jahr 1970 ohne Ergebnis.,"Vor Beendigung der Evakuierung (Fußmarsch von Leitmeritz nach Theresienstadt) flüchteten viele, vor allem Tschechinnen nach Prag.",,21. April 1945 Ankunft von 442 lebenden Frauen und Mädchen in Theresienstadt (Terezín) registriert.,,,,,,,,,,,,,,,
Außenlager KZ Buchenwald,Penig (71).,"Sandgrube in der Gemarkung, Langenleuba-Oberhain (heute Reitsportplatz).",Eisenacher Motorenwerke (EMW).,17. Januar 1945 bis 13. April 1945.,700 ungarische und polnische Jüdinnen.,Barackenlager.,Produktion von Flugzeugteilen.,"14, die in der Umgebung des Lagers bestattet wurden; nach dem Krieg Umbettung der noch erkennbaren Grablagen auf den Ortsfriedhof Langenleuba-Oberhain.",Keine.,Keine.,Evakuierungstransport aus Abteroda (KZ Buchenwald – Frauen lager) (1).,"Am 13. April 1945, gegen 15.00 Uhr, Abmarsch der Frauen aus Langenleuba-Oberhain. Etwa 80 Kranke und Marschunfähige blieben zurück.","Ermittlungen der Zentralen Stelle Ludwigsburg gegen den Lagerführer wurden eingestellt, da dessen Aufenthalt nicht festgestellt wurde.","In Chemnitz konnten 72 Frauen von der Kolonne fliehen und wurden nach Mittweida gebracht. Die Zurückgelassenen und Geflohenen wurden von amerikanischen Truppen befreit. Fluchten von Einzelpersonen und kleinen Gruppen sind durch Berichte der Überlebenden belegt. Eine weitere Gruppe von mindestens 34 Frauen gelangte in Johanngeorgenstadt zu einem Transport männlicher Häftlinge Flossenbürger Außenlager, der zwischen 5. und 8. Mai 1945 in Theresienstadt (Terezín) eintraf.",Das Lager wurde entsprechend des Produktionsstandortes als „SS-Arbeitskommando Penig“ geführt.,,,,"13./14. April: Marsch über Penig (auf Umgehungsstraße) – Mühlau – Hartmannsdorf – Chemnitz und Pause im AL Astra- Werke; Ab 15. April: Weitermarsch über Burkhardtsdorf – Meinersdorf – Thalheim – Dorfchemnitz (1†). Nach einer Marschpause weiter über Zwönitz (1†) – Kühnheide – Grünhain – Beierfeld – Schwar- zenberg nach Johanngeorgenstadt. Nach erneuter Pause wurde Sachsen in südliche Richtung verlassen. Weitermarsch bis in den Raum Taus (Domažlice) – Pilsen (Plzen) – Tauchau (Tachov) – Haid (Bor u Tachova), wo Ende April 1945 die Befreiung erfolgte.",,,,,"Abteroda, Thüringen.",,,,,,18. Februar bis 4. April 1945 – politische Frauenhäftlinge aus sieben europäischen Ländern. Verzeichnis der KZ-Außenlager 511,
Außenlager KZ Flossenbürg,"Plauen, Dr. Theodor Horn (73).","Plauen, Pausaer Straße (später: Plamag, Manroland).",Dr. Theodor Horn OHG Leipzig.,9. November 1944 bis Ende März 1945.,"50 männliche Häftlinge aus der Sowjetunion, Polen, Tschecho slowakei, Frankreich und anderen Nationen.512 KZ-Außenlager in Sachsen",Wahrscheinlich in Fabrikräumen.,Herstellung optischer Geräte für die Luftfahrt.,"Fünf, eines davon auf Hauptfriedhof Plauen beigesetzt.",,Genaue Zahl und Ergebnis unbekannt.,,,Nicht bekannt.,,Nach dem Luftangriff am 19. März 1945 wurden am 27. März 42 KZ-Häftlinge in das AL Lengenfeld (siehe dort) überstellt.,,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Plauen Industriewerke (72.2.).,"Plauen, Roonstraße (heute: L.-F.-Schönherr-Straße; Industrie- brache), Unternehmensgruppe Carl Ramig, Mechanische Baum- wollwebereien, Treuen.",OSRAM Glühlampenwerk GmbH Berlin („GU 897“).,16. oder 17. September 1944 bis 12. oder 13. April 1945.,300 weibliche politische Häftlinge.,Im Dachgeschoss des Fabrikgebäudes.,Glühlampen- und Röhrenfertigung.,Keine.,Keine.,Keine.,,,Nicht bekannt.,,"Nach dem Luftangriff am 10. April 1945 wurde das AL Industrie- werke am 15. April geräumt und die Frauen aus Plauen herausge- führt. Ein Soldat der Wehrmacht kehrte aber mit ihnen nach Plauen zurück, wo sie am 16. April 1945 von amerikanischen Soldaten befreit wurden.",,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Plauen Baumwollspinnerei (72.1).,"Plauen, Hans-Sachs-Straße, heute eine Kaufland-Filiale. Die Baumwollspinnerei der Carl Ramig, Mechanische Baumwoll- webereien, Treuen.",OSRAM Glühlampenwerk GmbH Berlin. (Glühlampenunterwerk „GU 896“).,16. oder 17. September 1944 bis 13. oder 14. April 1945. Verzeichnis der KZ-Außenlager 513,200 politische Häftlingsfrauen aus sieben europäischen Nationen.,Zweiter Stock des Fabrikgebäudes.,Glühlampen- und Röhrenfertigung.,Keine.,Keine.,Keine.,,"Am 13. oder 14. April 1945 sind die Frauen nach Schönheide marschiert. Dort trafen sie auf die männlichen KZ-Häftlinge aus Lengenfeld und Zwickau, mit denen sie zusammen in Richtung Stammlager Flossenbürg weiter getrieben wurden (siehe AL Lengenfeld). Die Frauen wurden wahrscheinlich ab Johanngeor- genstadt mit der Bahn transportiert und nach Leitmeritz gebracht.Juristische Aufarbeitung",,,"Bei dem Luftangriff am 10. April 1945 wurde auch die Baumwoll- spinnerei zerstört, die Häftlinge waren bis zur Evakuierung in der Ruine untergebracht.",,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Porschdorf (74).,"Gemeinde Rathmannsdorf, OT Gluto , ehemaliger Steinbruch (bei Porschdorf/Kreis Pirna über Bad Schandau).","OT-Sonderbaustab, Büro Prof. Dr. Ing. Rimpl, Königstein, auf Weisung des Geilenberg-Stabs für die „Sudetenländische Treib- stoffwerke AG“, Hydrierwerk Brüx.",3. Februar 1945 bis 14. April 1945.,250 Häftlinge (Männer) vom KZ Flossenbürg aus mehreren Ländern.,"Fabrikgebäude eines stillgelegten Steinbruchs im Ortsteil „Gluto“ der Gemeinde Rathmannsdorf im Sebnitztal. Die Arbeitsstelle befand sich 1–1,5 km entfernt im Polenztal.","Ausbrechen von Stollen, Betonierungsarbeiten, Verlade- und Transportarbeiten (Eisenbahnschienen).","Elf in Porschdorf (Friedhof), sieben in Oelsen, eine unbekannte Zahl während des Evakuierungsmarsches.","13 Häftlinge am 15. März 1945 nach Mockethal zu „Schwalbe III“, 15 Häftlinge am 20. März 1945 nach Leitmeritz.",Keine bekannt.514 KZ-Außenlager in Sachsen,,14. April 1945 Fußmarsch.,"Die von der Zentralstelle Ludwigsburg begonnene Vorermittlung wurde von der Staatsanwaltschaft Kassel fortgesetzt, aber im Dezember 1977 ergebnislos eingestellt.",,,Befreiung am 9. Mai 1945 durch sowjetische Truppen.,,"Viele während des Marsches, genaue Zahlen sind nicht bekannt.","Über Bad Schandau – Königstein – Bielatal – Bahratal – Hellen- dorf – Oelsen, hier Unterkunft in einer Rittergutsscheune, von der SS zum Bau von Panzersperren gezwungen.",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Rochlitz (78).,Barackenlager Reitbahn Rochlitz und Barackenlager Döhlen bei Rochlitz.,Mechanik GmbH Rochlitz – Tochtergesellschaft der Werkzeug maschinenwerke Pittler AG Leipzig (Vorsitzender des Aufsichts- rats: H. J. Abs).,14. September 1944 bis 28. März 1945.,660 Männer und Jüdinnen aus verschiedenen Konzentrationsla- gern und mehreren Ländern.,"Zuerst kurzzeitig in Erdbunkern, dann im Barackenlager Reitbahn Rochlitz und im Barackenlager Döhlen bei Rochlitz.","Metallbearbeitung mittels Werkzeugmaschinen, Fertigung von Teilen der Flugzeughydraulik für Junkers-Kampfflugzeuge Ju 87 und Ju 88, 3-Schicht-System zu je acht Stunden tägliche Arbeit.",Während der Lagerexistenz keine.,,In Rochlitz keine.,,"Die Männer wurden zu einem bisher nicht bekannten Zeitpunkt nach Wansleben am See verlegt. Am 28. März 1945 Überstellung der Frauen von Rochlitz über Glauchau, Zwickau, Aue, Zwotental und Klingenthal ins AL Graslitz (Kraslice). Ab Mitte April 1945 mussten die Frauen auf Todesmarsch bis Stankau (Stankov).",Ermittlungen der Zentralstelle Ludwigsburg wurden im Novem- ber 1975 ergebnislos eingestellt.,,Beide Lager und auch zeitweilig in Rochlitz stationierte männli- che KZ-Häftlinge unterstanden einer einheitlichen Lagerführung. Verzeichnis der KZ-Außenlager 515,Befreiung am 6. Mai 1945 durch amerikanische Truppen.,,,,,,,,,13. Januar 1945 199 Häftlinge zum Außenlager Calw des KZ Natzweiler bei der Luftfahrtgerätewerk GmbH. 11./20. Januar 1945 zwei Frauen nach Ravensbrück. 3. April 1945 drei Frauen nach Zwodau (wahrscheinlich zurück- gebliebene Kranke).,,,,,,
Außenlager KZ Flossenbürg,Schönheide (81).,"Schönheide, Hauptstraße, Textildruck Arlt (heute befindet sich an dieser Stelle der Neubau des Feuerwehr-Gerätehauses).","Firma R. Fuess, Berlin-Steglitz.",21. Februar 1945 bis 15. April 1945.,"50 Häftlinge, Tschechen, Polen, Deutsche und andere. Stärke am 13. April 1945: 46 KZ-Häftlinge.","In einem Raum der Firma Schuricht, später teilweise im neu errichteten Barackenlager der Firma Arlt.",Herstellung von Kleinteilen für die Flugzeugindustrie.,Mindestens vier Häftlinge. Verbleib: Alter Friedhof Schönheide.,,"Ein Fluchtversuch, Schicksal unbekannt.",,Am 13. April 1945 marschierten die Häftlinge nach Johanngeor- genstadt und wahrscheinlich anschließend wieder nach Schön- heide. Die Häftlinge mussten am 15. April 1945 mit den auf dem Sportplatz kampierenden KZ-Häftlingen einen Todesmarsch in Richtung Flossenbürg antreten. Weiterer Verlauf wie Evakuierung Lengenfeld.,Der Lagerälteste Georg Weilbach (Häftlings-Nr. 2) wurde im Dachauer Flossenbürg-Prozess zu zwölf Jahren Freiheitsstrafe verurteilt.516 KZ-Außenlager in Sachsen,,,,,"Ob es auf dem Todesmarsch Opfer gab, ist nicht bekannt.",,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Seifhennersdorf (22.1).,"Seifhennersdorf, Schützenhaus.","Außenkommando der SS-Pionierkaserne Dresden, SS-Baustab Dresden.",Januar 1944 bis 16. März 1945.,30 männliche Häftlinge aus mehreren europäischen Ländern.,Ehemaliges Schützenhaus in der Ortslage Seifhennersdorf.,Bauarbeiten am SS-Hilfslazarett.,Nicht bekannt.,,,,16. März 1945.,,,,,,,Nicht bekannt.Todesopfer/VorkommnisseEnde der EvakuierungBesonderheiten der EvakuierungJuristische Aufarbeitung,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Siegmar-Schönau (83).,"Lager Landgraf in Siegmar-Schönau, zwischen heutiger Jagd- schänkenstraße und Anton-Günther-Straße in der Nähe der Neefestraße.",,10. September1944 bis Mitte Januar 1945 in Siegmar.,"400 männliche polnische jüdische KZ-Häftlinge aus dem KZ Auschwitz, später auch Häftlinge aus anderen Ländern.",In diesem Lager waren die KZ-Häftlinge von den im Lager befindlichen Zwangs- und Westarbeitern sowie Kriegsgefangenen mit Stacheldrahtzaun und vier Wachtürmen in Baracken getrennt untergebracht. Verzeichnis der KZ-Außenlager 517,"Fertigung von Teilen des für den Panzer „Tiger“ bestimmten Maybach-Motors HL 230, LKW-Getriebeteile, Aufräumungsarbei- ten zur Beseitigung der Kriegsschäden im Werk Siegmar.",Sechs Tote in Siegmar-Schönau.Besonderheiten des Lagers,,,,Am 10. Dezember 1944 im Fußmarsch über Grüna nach Hohen- stein-Ernstthal (46) in ein Barackenlager auf dem Schützenplatz.,,,,,,,,,,,,,,,,,,,"Auto Union AG, die zur Pacht bis Ende des Krieges in zwei Werkhallen der Wanderer Werke AG für die Rüstung produzierte."
